DV,NPV,Offset,Estado,Marco,DF
0x2198A,0x21,0x98A,FALLO,11,0xB98A
0x4427,0x4,0x427,FALLO,12,0xC427
0x5A75C,0x5A,0x75C,FALLO,13,0xD75C
0x50C8B,0x50,0xC8B,HIT,1,0x1C8B
0x20E6E,0x20,0xE6E,FALLO,15,0xFE6E
0x62B3C,0x62,0xB3C,FALLO,0,0xB3C
0x3DB7F,0x3D,0xB7F,FALLO,9,0x9B7F
0x5325,0x5,0x325,FALLO,10,0xA325
0x15503,0x15,0x503,FALLO,14,0xE503
0x373DB,0x37,0x3DB,FALLO,1,0x13DB
0x1F89A,0x1F,0x89A,FALLO,2,0x289A
0x710F4,0x71,0xF4,FALLO,3,0x30F4
0x5AD47,0x5A,0xD47,HIT,13,0xDD47
0x4B55,0x4,0xB55,HIT,12,0xCB55
0x5218C,0x52,0x18C,FALLO,4,0x418C
0x34FE2,0x34,0xFE2,FALLO,5,0x5FE2
0x22DF8,0x22,0xDF8,FALLO,6,0x6DF8
0xAD30,0xA,0xD30,FALLO,7,0x7D30
0x4D72E,0x4D,0x72E,FALLO,8,0x872E
0x5A3F5,0x5A,0x3F5,HIT,13,0xD3F5
0x6A29F,0x6A,0x29F,FALLO,11,0xB29F
0x47EA5,0x47,0xEA5,FALLO,15,0xFEA5
0x3407C,0x34,0x7C,HIT,5,0x507C
0x2003B,0x20,0x3B,FALLO,0,0x3B
0x46E7F,0x46,0xE7F,FALLO,9,0x9E7F
0x3560C,0x35,0x60C,FALLO,10,0xA60C
0x1EA5B,0x1E,0xA5B,FALLO,12,0xCA5B
0x34F0F,0x34,0xF0F,HIT,5,0x5F0F
0x236FE,0x23,0x6FE,FALLO,13,0xD6FE
0x6F4CA,0x6F,0x4CA,FALLO,14,0xE4CA
0x1B812,0x1B,0x812,FALLO,1,0x1812
0x1ACCC,0x1A,0xCCC,FALLO,2,0x2CCC
0x26AB1,0x26,0xAB1,FALLO,3,0x3AB1
0x1D438,0x1D,0x438,FALLO,4,0x4438
0x30B66,0x30,0xB66,FALLO,6,0x6B66
0x404B4,0x40,0x4B4,FALLO,7,0x74B4
0x5E2F9,0x5E,0x2F9,FALLO,8,0x82F9
0x37EBF,0x37,0xEBF,FALLO,11,0xBEBF
0x16B58,0x16,0xB58,FALLO,15,0xFB58
0x4401D,0x44,0x1D,FALLO,0,0x1D
0x62847,0x62,0x847,FALLO,5,0x5847
0x52DA5,0x52,0xDA5,FALLO,9,0x9DA5
0x1AB69,0x1A,0xB69,HIT,2,0x2B69
0x1ADD0,0x1A,0xDD0,HIT,2,0x2DD0
0xD835,0xD,0x835,FALLO,10,0xA835
0x196CA,0x19,0x6CA,FALLO,12,0xC6CA
0x5E36F,0x5E,0x36F,HIT,8,0x836F
0x42900,0x42,0x900,FALLO,13,0xD900
0x5EE73,0x5E,0xE73,HIT,8,0x8E73
